network,articles,paragraphs,nodes,edges,edges_per_100_paragraphs,density,avg_degree,avg_weighted_degree,avg_clustering,communities,random_clustering_mean,clustering_z_vs_random
Women,90,2306,198,9488,411.44839549002603,0.48648925806286214,95.83838383838383,376.3636363636364,0.6300625749583519,4,0.4865434224379962,238.9533878167759
Men,90,2864,200,10295,359.4622905027933,0.5173366834170854,102.95,402.48,0.6586057307169237,4,0.5173406867014883,217.00271518118925
